signal_time,entry_time,coin,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,confidence,tier,leverage,rr,is_new
2023-04-30 15:00:00,2023-04-30 17:00:00,ATOMUSDT,11.762,11.53404,12.10394,1.938,-0.564,1.507,RANGING,77.6,A,12,1.5,True
2023-04-30 15:00:00,2023-04-30 17:00:00,LINKUSDT,7.226,7.13813,7.409761,1.216,0.297,2.759,RANGING,66.7,B,20,2.09,True
2023-04-30 15:00:00,2023-04-30 17:00:00,APTUSDT,10.616,10.470385,10.885971,1.372,-0.495,2.273,RANGING,89.1,A,18,1.85,True
2023-05-03 18:00:00,2023-05-03 20:00:00,ATOMUSDT,10.926,10.683315,11.290028,2.221,-1.004,1.178,RANGING,72.7,B,11,1.5,True
2023-05-03 18:00:00,2023-05-03 20:00:00,AVAXUSDT,17.079,16.301085,18.245872,4.555,-2.069,2.43,RANGING,91.5,A,5,1.5,False
2023-05-03 18:00:00,2023-05-03 20:00:00,INJUSDT,7.481,7.268475,7.799788,2.841,-0.767,1.257,RANGING,73.8,B,8,1.5,True
2023-05-03 18:00:00,2023-05-03 20:00:00,LINKUSDT,7.042,6.850575,7.329138,2.718,-1.631,1.926,RANGING,83.9,A,9,1.5,True
2023-05-11 08:00:00,2023-05-11 10:00:00,MATICUSDT,0.8592,0.824059,0.911911,4.09,-0.086,1.691,TRENDING,55.4,B,6,1.5,False
2023-05-11 12:00:00,2023-05-11 14:00:00,DOTUSDT,5.307,5.174,5.5065,2.506,-0.162,2.088,TRENDING,61.3,B,9,1.5,True
2023-05-13 18:00:00,2023-05-13 20:00:00,SOLUSDT,20.956,20.655205,21.407192,1.435,-1.022,1.364,RANGING,75.5,A,17,1.5,False
2023-05-13 18:00:00,2023-05-13 20:00:00,APTUSDT,8.285,8.12915,8.518775,1.881,0.161,1.175,RANGING,56.5,B,13,1.5,True
2023-05-16 05:00:00,2023-05-16 07:00:00,LTCUSDT,88.71,85.6695,93.27075,3.427,-0.482,1.691,TRENDING,55.4,B,7,1.5,True
2023-05-16 23:00:00,2023-05-17 01:00:00,LTCUSDT,92.9,88.36595,99.701075,4.881,0.076,1.265,RANGING,66.4,B,5,1.5,True
2023-05-17 18:00:00,2023-05-17 20:00:00,INJUSDT,6.68,5.927215,7.809178,11.269,-1.247,1.21,RANGING,73.2,B,2,1.5,True
2023-05-25 06:00:00,2023-05-25 08:00:00,MATICUSDT,0.8783,0.846745,0.925632,3.593,-1.342,2.039,TRENDING,60.6,B,6,1.5,False
2023-05-25 12:00:00,2023-05-25 14:00:00,INJUSDT,6.366,6.03368,6.86448,5.22,-0.638,2.697,TRENDING,70.5,B,4,1.5,True
2023-05-25 19:00:00,2023-05-25 21:00:00,AVAXUSDT,14.073,13.9101,14.320408,1.158,-0.328,2.218,TRENDING,63.3,B,21,1.52,False
2023-05-27 04:00:00,2023-05-27 06:00:00,NEARUSDT,1.592,1.567125,1.629313,1.563,-1.215,1.045,RANGING,70.7,B,15,1.5,True
2023-05-30 03:00:00,2023-05-30 05:00:00,LTCUSDT,90.99,89.9878,92.4933,1.101,-0.224,1.214,RANGING,73.2,B,22,1.5,True
2023-06-02 00:00:00,2023-06-02 02:00:00,INJUSDT,7.636,7.085395,8.461908,7.211,-0.668,2.625,TRENDING,69.4,B,3,1.5,True
2023-06-02 20:00:00,2023-06-02 22:00:00,NEARUSDT,1.613,1.575085,1.669873,2.351,-0.305,2.056,RANGING,85.8,A,10,1.5,True
2023-06-03 07:00:00,2023-06-03 09:00:00,DOTUSDT,5.287,5.208825,5.404262,1.479,-2.541,1.034,RANGING,70.5,B,16,1.5,True
2023-06-03 07:00:00,2023-06-03 09:00:00,INJUSDT,7.976,7.72717,8.349245,3.12,-11.223,1.31,RANGING,74.7,B,8,1.5,True
2023-06-03 08:00:00,2023-06-03 10:00:00,INJUSDT,7.945,7.72717,8.271745,2.742,-13.313,2.621,RANGING,94.3,A,9,1.5,True
2023-06-03 16:00:00,2023-06-03 18:00:00,ATOMUSDT,10.662,10.48929,10.921065,1.62,-0.374,1.698,RANGING,80.5,A,15,1.5,True
2023-06-04 04:00:00,2023-06-04 06:00:00,APTUSDT,9.002,8.76197,9.362045,2.666,-0.498,1.778,RANGING,81.7,A,9,1.5,True
2023-06-04 11:00:00,2023-06-04 13:00:00,APTUSDT,9.247,8.900275,9.767087,3.75,-2.232,1.373,RANGING,75.6,A,6,1.5,True
2023-06-09 07:00:00,2023-06-09 09:00:00,ARBUSDT,1.1411,1.105544,1.194433,3.116,-0.223,1.038,RANGING,70.6,B,8,1.5,False
2023-06-11 19:00:00,2023-06-11 21:00:00,APTUSDT,6.35,5.84065,7.114025,8.021,-3.22,3.668,RANGING,100.0,A,3,1.5,True
2023-06-13 07:00:00,2023-06-13 09:00:00,ARBUSDT,1.0087,0.962862,1.077458,4.544,-0.534,1.068,RANGING,71.0,B,5,1.5,False
2023-06-13 20:00:00,2023-06-13 22:00:00,BNBUSDT,241.18,232.93945,253.540825,3.417,-0.909,3.723,RANGING,100.0,A,7,1.5,False
2023-06-13 20:00:00,2023-06-13 22:00:00,OPUSDT,1.1413,1.10445,1.196575,3.229,-0.089,1.125,RANGING,71.9,B,7,1.5,True
2023-06-14 05:00:00,2023-06-14 07:00:00,INJUSDT,6.057,5.758065,6.505403,4.935,-0.242,1.493,RANGING,77.4,A,5,1.5,True
2023-06-18 07:00:00,2023-06-18 09:00:00,APTUSDT,7.011,6.766995,7.377007,3.48,-1.004,2.849,RANGING,97.7,A,7,1.5,True
2023-06-19 16:00:00,2023-06-19 18:00:00,INJUSDT,6.122,5.83866,6.54701,4.628,-0.043,1.703,RANGING,80.5,A,5,1.5,True
2023-06-21 16:00:00,2023-06-21 18:00:00,APTUSDT,7.508,7.04858,8.19713,6.119,-0.731,1.844,TRENDING,57.7,B,4,1.5,True
2023-06-23 12:00:00,2023-06-23 14:00:00,OPUSDT,1.403,1.33917,1.498744,4.55,-1.436,8.183,RANGING,100.0,A,5,1.5,True
2023-06-24 07:00:00,2023-06-24 09:00:00,NEARUSDT,1.428,1.360165,1.529752,4.75,-2.198,1.055,RANGING,70.8,B,5,1.5,True
2023-06-30 00:00:00,2023-06-30 02:00:00,ARBUSDT,1.1604,1.110122,1.235818,4.333,-0.621,1.272,RANGING,74.1,B,5,1.5,False
2023-06-30 00:00:00,2023-06-30 02:00:00,INJUSDT,8.082,7.64757,8.733645,5.375,-3.286,1.749,RANGING,81.2,A,4,1.5,True
2023-06-30 00:00:00,2023-06-30 02:00:00,SOLUSDT,18.468,17.33887,20.161695,6.114,-2.425,1.497,RANGING,77.5,A,4,1.5,False
2023-07-01 08:00:00,2023-07-01 10:00:00,DOTUSDT,5.302,5.081465,5.632802,4.159,-2.567,1.082,RANGING,71.2,B,6,1.5,True
2023-07-01 08:00:00,2023-07-01 10:00:00,LTCUSDT,106.56,102.087,113.2695,4.198,-8.905,1.101,RANGING,71.5,B,5,1.5,True
2023-07-01 10:00:00,2023-07-01 12:00:00,APTUSDT,7.236,6.98092,7.61862,3.525,-0.834,1.231,RANGING,73.5,B,7,1.5,True
2023-07-02 02:00:00,2023-07-02 04:00:00,LINKUSDT,6.413,6.138155,6.825268,4.286,-0.81,1.106,RANGING,71.6,B,5,1.5,True
2023-07-03 03:00:00,2023-07-03 05:00:00,AVAXUSDT,13.254,12.736,14.031,3.908,-0.26,1.092,RANGING,71.4,B,6,1.5,False
2023-07-04 15:00:00,2023-07-04 17:00:00,ARBUSDT,1.1612,1.153504,1.172745,0.663,-0.866,1.729,RANGING,80.9,A,37,1.5,False
2023-07-06 00:00:00,2023-07-06 02:00:00,SOLUSDT,19.508,18.43536,21.11696,5.498,-1.678,4.46,TRENDING,75.0,A,4,1.5,False
2023-07-08 00:00:00,2023-07-08 02:00:00,MATICUSDT,0.6818,0.664162,0.708256,2.587,-0.678,1.088,RANGING,71.3,B,9,1.5,False
